site_id,name,latitude,longitude,n_connectors,max_power_kw,connector_types,operator
RNXBBT3AOBKQ9L1F8XWX,"Repsol ES,  NAVARRO TEJERO S.A.",41.83625,-1.177322,0,,Unknown,Unknown
YZGEKDZMZP4M3YDGLJWW,"Mercadona, Av. de Palestina, Cádiz",36.532104,-6.199436,0,,Unknown,Unknown
WCQTOSDMIWPZSMIRVTME,"Repsol ES, CRED Valseca",40.999,-4.149013,0,,Unknown,Unknown
ZPAMETFGYLTRECGNYF57,"Mercadona, C/ Agustín Rodríguez, Ávila",40.64947,-4.677486,0,,Unknown,Unknown
OFONCEKKJHBDG717VMXY,"Mercadona, Av Argentina, Islas Baleares",39.575306,2.63939,0,,Unknown,Unknown
MLU8XR2FXHX5F8FVUY7X,"Mercadona, Nueva, Sevilla",37.34688,-6.062226,0,,Unknown,Unknown
6UOOUGLBTAAS0OR8ADDX,"Mercadona, Alcalá, Madrid",40.44396,-3.615541,0,,Unknown,Unknown
VWG0JDH2IKTFKURTZIX7,"Mercadona, Baró de Maials, Lleida",41.621307,0.637956,0,,Unknown,Unknown
9TBTNVU2279D9CHXQDXF,"Repsol ES, María de Huerva",41.54003,-0.996078,0,,Unknown,Unknown
RZE9IK2Q3G2RENZSHNTL,"Repsol ES, CRED Mejorada del Campo",40.39499,-3.493531,0,,Unknown,Unknown
